era,season_number,serial_title,story_number,episode_number,episode_title,type,first_aired,production_code,uk_viewers,rating_episodes,duration,air_date,rating_imdb,rating_n,desc,director,writer
revived,1.0,,157,1.0,Rose,episode,26-03-2005,1.1,10.81,76.0,45.0,17 Mar. 2006,7.5,8301.0,When ordinary shop-worker Rose Tyler meets a mysterious stranger called the Doctor she is drawn into his strange and dangerous world; her life will never be the same again.,Keith Boak,Russell T Davies
revived,1.0,,158,2.0,The End of the World,episode,02-04-2005,1.2,7.97,76.0,44.0,17 Mar. 2006,7.5,7279.0,The Doctor takes Rose to the year 5 billion to witness the destruction of the Earth.,Euros Lyn,Russell T Davies
revived,1.0,,159,3.0,The Unquiet Dead,episode,09-04-2005,1.3,8.86,80.0,44.0,24 Mar. 2006,7.5,6804.0,The Doctor has great expectations for his latest adventure when he and Rose join forces with Charles Dickens to investigate a mysterious plague of zombies.,Euros Lyn,Mark Gatiss
revived,1.0,,160a,4.0,Aliens of London,episode,16-04-2005,1.4,7.63,82.0,45.0,31 Mar. 2006,7.0,6543.0,"The Doctor returns Rose to her own time - well, sort of - but her family reunion is ruined when a spaceship crashes in the middle of London. What is the origin of the spaceship, and where has the Prime Minister gone in this time of crisis?",Keith Boak,Russell T Davies
revived,1.0,,160b,5.0,World War Three,episode,23-04-2005,1.5,7.98,81.0,42.0,7 Apr. 2006,7.0,6337.0,The Slitheen have infiltrated Parliament and have the Doctor and his friends trapped as the Doctor works to prevent them from starting World War Three.,Keith Boak,Russell T Davies
revived,1.0,,161,6.0,Dalek,episode,30-04-2005,1.6,8.63,84.0,45.0,14 Apr. 2006,8.7,7211.0,"The TARDIS is drawn to an alien museum deep below the Utah desert, where a ruthless billionaire keeps prisoner the last of the Doctor's most fearsome enemies.",Joe Ahearne,Robert Shearman
revived,1.0,,162,7.0,The Long Game,episode,07-05-2005,1.7,8.01,81.0,44.0,21 Apr. 2006,7.1,6255.0,"In the year 200,000 the Doctor discovers that a satellite with a dark secret is controlling humanity and slowing its development.",Brian Grant,Russell T Davies
revived,1.0,,163,8.0,Father's Day,episode,14-05-2005,1.8,8.06,83.0,45.0,28 Apr. 2006,8.4,6889.0,"Rose asks The Doctor to take her to 1987, on the day her father was killed.",Joe Ahearne,Paul Cornell
revived,1.0,,164a,9.0,The Empty Child,episode,21-05-2005,1.9,7.11,84.0,45.0,5 May 2006,9.2,8383.0,"When a spaceship crashes in the middle of the London Blitz the Doctor, Rose and the enigmatic Captain Jack Harkness find themselves investigating a plague of physical injuries and a little boy in a gas mask.",James Hawes,Steven Moffat
revived,1.0,,164b,10.0,The Doctor Dances,episode,28-05-2005,1.1,6.86,85.0,45.0,12 May 2006,9.2,7702.0,The gas mask zombies are on the rise as the plague spreads across war-torn London.,James Hawes,Steven Moffat
revived,1.0,,165,11.0,Boom Town,episode,04-06-2005,1.11,7.68,82.0,45.0,19 May 2006,7.1,5981.0,"Stopping off in present-day Cardiff to recharge the TARDIS, The Doctor, Rose and Jack meet up with Mickey and encounter an old foe in the midst of hatching a scheme that could destroy the entire planet.",Joe Ahearne,Russell T Davies
revived,1.0,,166a,12.0,Bad Wolf,episode,11-06-2005,1.12,6.81,86.0,45.0,2 Jun. 2006,8.7,6799.0,"The Doctor, Rose and Jack are separated and forced to compete in twisted and deadly games on the Game Station.",Joe Ahearne,Russell T Davies
revived,1.0,,166b,13.0,The Parting of the Ways,episode,18-06-2005,1.13,6.91,89.0,45.0,9 Jun. 2006,9.1,7312.0,"As the Dalek fleet begin their attack on the Earth, the Doctor and his allies make one final stand.",Joe Ahearne,Russell T Davies
revived,2.0,,167,0.0,The Christmas Invasion,special,25-12-2005,2X,9.84,84.0,60.0,29 Sep. 2006,8.1,6716.0,"It's Christmas Eve, but this is to be a far from silent night - the cruel Sycorax have come to Earth to enslave mankind and, as ever, only The Doctor can stop them. Unfortunately, he's lying in a coma in Jackie's home...",James Hawes,Russell T Davies
revived,2.0,,168,1.0,New Earth,episode,15-04-2006,2.1,8.62,85.0,45.0,29 Sep. 2006,7.4,6275.0,The Doctor and Rose arrive on New Earth and meet old friends and enemies in a hospital which can cure every disease. But the cures come at a terrible cost.,James Hawes,Russell T Davies
revived,2.0,,169,2.0,Tooth and Claw,episode,22-04-2006,2.2,9.24,83.0,45.0,6 Oct. 2006,7.7,6398.0,"The Doctor and Rose are transported to 19th Century Scotland, where they meet Queen Victoria, and try to protect her from a ravenous werewolf and a band of assassinating warrior-monks",Euros Lyn,Russell T Davies
revived,2.0,,170,3.0,School Reunion,episode,29-04-2006,2.3,8.31,85.0,45.0,13 Oct. 2006,8.3,6803.0,"The Krillitanes - aliens with a mix-and-match physiology - are trying to crack the 'God-Maker', a paradigm to give them ultimate power. They are using children as a computer, and only the Doctor and Rose, re-united with Sarah Jane Smith and K9 can prevent them from becoming masters of time and space.",James Hawes,Toby Whithouse
